time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	inc_r_ag	inc_h_ag	inc_r_bg	inc_h_bg	w_r_ag	w_h_ag	w_r_bg	w_h_bg
6912000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
6998400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7084800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7171200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7257600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7344000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7430400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7516800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7603200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7689600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7776000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7862400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
7948800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8035200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8121600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8208000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8294400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8380800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8467200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8553600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8640000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8726400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8812800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8899200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
8985600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9072000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9158400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9244800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9331200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9417600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9504000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9590400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9676800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9763200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9849600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
9936000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10022400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10108800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10195200	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10281600	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10368000	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10454400	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
10540800	10	11	0.372715004	1.480860015	0.241388217	0.561572506	0.034558706	1	1	0	0	0	0	0.14	0.56	0.09	0.21
